Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
526315,DIVSHKT,DIVYASHAKTI GRANITES LTD.,Active,X ,10.00,INE410G01010,Construction Materials,Equity
526325,ORIENTLTD,ORIENT PRESS LTD.,Active,B ,10.00,INE609C01024,Containers &amp; Packaging,Equity
526335,SHREYASI,SHREYAS INTERMEDIATES LTD.,Active,XT,10.00,INE115F01017,Commodity Chemicals,Equity
526349,PARTIND,Parth Industries Limited,Active,P ,10.00,INE218T01010,Auto Parts &amp; Equipment,Equity
526355,DUROPACK,DUROPACK LTD.,Active,XT,10.00,INE138B01018,Plastic Products,Equity
526365,SWARNSAR,Swarnsarita Gems Ltd,Active,XT,10.00,INE967A01012,Other Apparels &amp; Accessories,Equity
526367,GANESHHOUC,GANESH HOUSING CORPORATION LTD.-$,Active,B ,10.00,INE460C01014,Realty,Equity
526371,NMDC,NMDC LTD.,Active,A ,1.00,INE584A01023,Mining,Equity
526373,CINDHO,CINDRELLA HOTELS LTD.-$,Active,X ,10.00,INE908C01012,Hotels,Equity
526381,PATINTLOG,PATEL INTEGRATED LOGISTICS LTD.-$,Active,B ,10.00,INE529D01014,Surface Transportation,Equity
526397,ALPHAGEO,ALPHAGEO (INDIA) LTD.-$,Active,B ,10.00,INE137C01018,Oil Equipment &amp; Services,Equity
526407,RPIL,RITESH PROPERTIES &amp; INDUSTRIES LTD.,Active,X ,10.00,INE299D01014,Other Apparels &amp; Accessories,Equity
526409,KKALPANAIND,Kkalpana Industries (India) Ltd,Active,X ,2.00,INE301C01028,Plastic Products,Equity
526415,OKPLA,OK PLAY INDIA LTD.,Active,XT,10.00,INE870B01016,Gift Articles-Toys &amp; Cards ,Equity
526423,KRITIIND,KRITI INDUSTRIES (INDIA) LTD.-$,Active,X ,1.00,INE479D01038,Plastic Products,Equity
526431,WELTI,WELTERMAN INTERNATIONAL LTD.,Active,XT,10.00,INE662D01013,Footwear,Equity
526433,ASMTEC,ASM TECHNOLOGIES LTD.,Active,X ,10.00,INE867C01010,IT Consulting &amp; Software,Equity
526435,PERFEPA,PERFECTPAC LTD.,Active,X ,10.00,INE759I01016,Paper &amp; Paper Products,Equity
526441,VISIONCINE,VISION CINEMAS LTD.,Active,XT,1.00,INE515B01025,Advertising &amp; Media,Equity
526445,INDRANIB,INDRAYANI BIOTECH LTD.,Active,XT,10.00,INE007C01021,Other Agricultural Products,Equity
526471,WINSOMBR,WINSOME BREWERIES LTD.,Active,XT,10.00,INE391C01011,Breweries &amp; Distilleries,Equity
526473,ELEFLOR,ELEGANT FLORICULTURE &amp; AGROTECH (INDIA) LTD.,Active,X ,10.00,INE152E01013,Other Agricultural Products,Equity
526477,SAENTER,SOUTH ASIAN ENTERPRISES LTD.,Active,X ,10.00,INE118B01010,Other Leisure Facilities,Equity
526479,SKYIND,SKY INDUSTRIES LTD.-$,Active,X ,10.00,INE765B01018,Textiles,Equity
526481,PHOENXINTL,PHOENIX INTERNATIONAL LTD.,Active,XT,10.00,INE245B01011,Other Apparels &amp; Accessories,Equity
526483,EDUEXEL,Eduexel Infotainment Limited,Active,XT,10.00,INE611F01015,Photographic Products,Equity
526488,AARVINFRA,AARV Infratel Ltd,Active,P ,10.00,INE432N01010,Textiles,Equity
526490,PRATIK,PRATIK PANELS LTD.,Active,XT,10.00,INE206C01011,Forest Products,Equity
526492,RISHIROOP,Rishiroop Ltd,Active,X ,10.00,INE582D01013,Other Industrial Products,Equity
526494,PROMACT,Promact Impex Ltd,Active,X ,10.00,INE818D01011,Containers &amp; Packaging,Equity
526500,STRGRENWO,STERLING GREEN WOODS LTD.,Active,XT,10.00,INE398F01019,Hotels,Equity
526504,DOLPHMED,DOLPHIN MEDICAL SERVICES LTD.,Active,XT,10.00,INE796B01013,Healthcare Services,Equity
526506,SYSTMTXC,SYSTEMATIX CORPORATE SERVICES LTD.,Active,X ,10.00,INE356B01016,Other Financial Services,Equity
526508,SHAHISHIP,Shahi Shipping Ltd-$,Active,XT,10.00,INE825D01016,Shipping,Equity
526519,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.00,INE840D01015,Realty,Equity
526521,SANGHIIND,SANGHI INDUSTRIES LTD.,Active,B ,10.00,INE999B01013,Cement &amp; Cement Products,Equity
526525,WWLEATH,WORLDWIDE LEATHER EXPORTS LTD.,Active,X ,10.00,INE550D01010,Other Apparels &amp; Accessories,Equity
526532,SFPIL,Square Four Projects India Limited,Active,XT,10.00,INE716K01012,Commodity Chemicals,Equity
526538,MAXIMAA,MAXIMAA SYSTEMS LTD.,Active,X ,2.00,INE161B01036,Pharmaceuticals,Equity
526544,SCANPGEOM,SCANPOINT GEOMATICS LTD.,Active,X ,2.00,INE967B01028,Internet Software &amp; Services,Equity
526546,CHOKSILA,CHOKSI LABORATORIES LTD.,Active,X ,10.00,INE493D01013,Healthcare Services,Equity
526550,CCHHL,Country Club Hospitality &amp; Holidays Ltd,Active,T ,2.00,INE652F01027,Hotels,Equity
526554,SALGUTI,SALGUTI INDUSTRIES LTD.,Active,XT,10.00,INE159C01012,Containers &amp; Packaging,Equity
526568,LONTE,LONGVIEW TEA COMPANY LTD.,Active,XT,10.00,INE696E01019,Tea &amp; Coffee,Equity
526570,MIDWEST,MIDWEST GOLD LTD.,Active,XT,10.00,INE519N01014,Construction Materials,Equity
526574,ENTRINT,ENTERPRISE INTERNATIONAL LTD.,Active,X ,10.00,INE439G01019,Comm.Trading  &amp; Distribution,Equity
526576,TECHIN,TECHINDIA NIRMAN LIMITED,Active,B ,10.00,INE778A01021,Realty,Equity
526582,TPLPLAST,TPL PLASTECH LTD.,Active,B ,10.00,INE413G01014,Plastic Products,Equity
526586,WIMPLAST,WIM PLAST LTD.-$,Active,X ,10.00,INE015B01018,Plastic Products,Equity
526588,PHOTOQUP,PHOTOQUIP INDIA LTD.,Active,XT,10.00,INE813B01016,Photographic Products,Equity
526596,LIBERTSHOE,LIBERTY SHOES LTD.,Active,B ,10.00,INE557B01019,Footwear,Equity
526604,LIPPISYS,LIPPI SYSTEMS LTD.-$,Active,XT,10.00,INE845B01018,Industrial Machinery,Equity
526608,ELECTHERM,ELECTROTHERM (INDIA) LTD.,Active,B ,10.00,INE822G01016,Iron &amp; Steel Products,Equity
526612,BLUEDART,BLUE DART EXPRESS LTD.,Active,A ,10.00,INE233B01017,Transportation - Logistics,Equity
526614,EXPOGAS,EXPO GAS CONTAINERS LTD.,Active,X ,4.00,INE561D01025,Other Industrial Products,Equity
526616,NATPLAS,NATIONAL PLASTIC INDUSTRIES LTD.,Active,X ,10.00,INE233D01013,Plastic Products,Equity
526622,MFLINDIA,MFL INDIA LTD.,Active,XT,1.00,INE244C01020,Transportation - Logistics,Equity
526628,AJWAFUN,AJWA FUN WORLD &amp; RESORT LTD.,Active,P ,10.00,INE863E01015,Other Leisure Facilities,Equity
526640,RAYALEMA,ROYALE MANOR HOTELS &amp; INDUSTRIES LTD.,Active,XT,10.00,INE008C01011,Hotels,Equity
526642,MIRZAINT,MIRZA INTERNATIONAL LTD.,Active,B ,2.00,INE771A01026,Footwear,Equity
526650,TFCILTD,TOURISM FINANCE CORPORATION OF INDIA LTD.,Active,B ,10.00,INE305A01015,Financial Institutions,Equity
526654,THAKDEV,THAKKERS DEVELOPERS LTD.,Active,X ,10.00,INE403F01017,Realty,Equity
526662,ARENTERP,RAJDARSHAN INDUSTRIES LTD.,Active,B ,10.00,INE610C01014,Construction &amp; Engineering,Equity
526666,BIL,BHARTIYA INTERNATIONAL LTD.,Active,B ,10.00,INE828A01016,Other Apparels &amp; Accessories,Equity
526668,KAMATHOTEL,KAMAT HOTELS (INDIA) LTD.,Active,B ,10.00,INE967C01018,Hotels,Equity
526683,HOTELRUGBY,HOTEL RUGBY LTD.,Active,T ,10.00,INE275F01019,Hotels,Equity
526687,POLOHOT,POLO HOTELS LTD.,Active,XT,10.00,INE084C01012,Hotels,Equity
526689,FENOPLAS,FENOPLAST LTD.-$,Active,XT,10.00,INE138D01014,Plastic Products,Equity
526703,ECOPLAST,ECOPLAST LTD.-$,Active,X ,10.00,INE423D01010,Plastic Products,Equity
526705,ELEMARB,ELEGANT MARBLES &amp; GRANI INDUSTRIES LTD.,Active,X ,10.00,INE095B01010,Comm.Trading  &amp; Distribution,Equity
526707,ALCHEM,ALCHEMIST LTD.,Active,T ,10.00,INE964B01033,Comm.Trading  &amp; Distribution,Equity
526711,ADARSHPL,ADARSH PLANT PROTECT LTD.,Active,XT,10.00,INE627D01016,Agrochemicals,Equity
526717,GOPALA,GOPALA POLYPLAST LTD.,Active,X ,10.00,INE136C01036,Containers &amp; Packaging,Equity
526721,NICCOPAR,NICCO PARKS &amp; RESORTS LTD.-$,Active,XT,1.00,INE653C01022,Other Leisure Facilities,Equity
526723,NTCIND,NTC INDUSTRIES LTD.,Active,X ,10.00,INE920C01017,Cigarettes-Tobacco Products,Equity
526725,SANDESH,SANDESH LTD.,Active,B ,10.00,INE583B01015,Publishing,Equity
526727,GARNET,GARNET CONSTRUCTION LTD.,Active,X ,10.00,INE797D01017,Construction &amp; Engineering,Equity
526729,GOLDIAM,GOLDIAM INTERNATIONAL LTD.,Active,B ,10.00,INE025B01017,Other Apparels &amp; Accessories,Equity
526731,BRIGHTBR,BRIGHT BROTHERS LTD.-$,Active,X ,10.00,INE630D01010,Containers &amp; Packaging,Equity
526737,CORPOCO,CORPORATE COURIER AND CARGO LTD.,Active,X ,10.00,INE871E01018,Transportation - Logistics,Equity
526739,SHAWGELTIN,NARMADA GELATINES LTD.,Active,X ,10.00,INE869A01010,Specialty Chemicals,Equity
526747,PGFOILQ,PG FOILS LTD.,Active,X ,10.00,INE078D01012,Aluminium,Equity
526751,GRATEXI,GRATEX INDUSTRIES LTD.,Active,XT,10.00,INE915E01013,Paper &amp; Paper Products,Equity
526755,VELHO,VELAN HOTELS LTD.,Active,X ,10.00,INE548D01014,Hotels,Equity
526761,HOWARHO,HOWARD HOTELS LTD.,Active,X ,10.00,INE931B01016,Hotels,Equity
526775,VALIANT,VALIANT COMMUNICATIONS LTD.-$,Active,X ,10.00,INE760B01019,Telecom Equipment,Equity
526783,DRAGARWQ,DR.AGARWALS EYE HOSPITAL LTD.-$,Active,XT,10.00,INE934C01018,Healthcare Services,Equity
526795,MHSGRMS,MAHASAGAR TRAVELS LTD.,Active,ZP,10.00,INE007G01014,Surface Transportation,Equity
526797,GREENPLY,GREENPLY INDUSTRIES LTD.,Active,B ,1.00,INE461C01038,Forest Products,Equity
526799,UNQTYMI,UNION QUALITY PLASTICS LTD.,Active,XT,10.00,INE338N01019,Containers &amp; Packaging,Equity
526801,PSL,PSL LTD.,Active,B ,10.00,INE474B01017,Construction &amp; Engineering,Equity
526807,SEAMECLTD,SEAMEC LTD.,Active,B ,10.00,INE497B01018,Shipping,Equity
526813,RAGHUNAT,RAGHUNATH INTERNATIONAL LTD.,Active,XT,10.00,INE753B01014,Cigarettes-Tobacco Products,Equity
526817,CHEVIOT,CHEVIOT CO.LTD.-$,Active,X ,10.00,INE974B01016,Jute &amp; Jute Products,Equity
526821,DAICHI,DAI-ICHI KARKARIA LTD.-$,Active,X ,10.00,INE928C01010,Specialty Chemicals,Equity
526827,SPICEISL,SPICE ISLANDS APPARELS LTD.-$,Active,XT,10.00,INE882D01017,Other Apparels &amp; Accessories,Equity
526829,CONFIPET,CONFIDENCE PETROLEUM INDIA LTD.,Active,B ,1.00,INE552D01024,Oil Marketing &amp; Distribution,Equity
526839,SIPL,SHELTER INFRA PROJECTS LTD.-$,Active,X ,10.00,INE413C01013,Construction &amp; Engineering,Equity
526843,ATLANTADEV,Atlanta Devcon Limited,Active,XT,10.00,INE590F01029,Comm.Trading  &amp; Distribution,Equity
526847,ASHSI,ASHIRWAD STEELS &amp; INDUSTRIES LTD.,Active,XT,10.00,INE338C01012,Iron &amp; Steel/Interm.Products,Equity
526849,BANARBEADS,BANARAS BEADS LTD.,Active,B ,10.00,INE655B01011,Other Apparels &amp; Accessories,Equity
526851,AREXMIS,AREX INDUSTRIES LTD.,Active,X ,10.00,INE480H01011,Textiles,Equity
526853,BI,BILCARE LTD.-$,Active,XT,10.00,INE986A01012,Healthcare Supplies,Equity
526859,ISFL,ISF LIMITED,Active,X ,1.00,INE973B01026,Finance (including NBFCs),Equity
526861,RISHILASE,RISHI LASER LTD.,Active,X ,10.00,INE988D01012,Industrial Machinery,Equity
526865,JAINCO,JAINCO PROJECTS (INDIA) LTD.,Active,XT,10.00,INE966C01010,Comm.Trading  &amp; Distribution,Equity
526871,INTECCAP,INTEC CAPITAL LTD.,Active,X ,10.00,INE017E01018,Other Financial Services,Equity
526873,RAJGASES,RAJASTHAN GASES LTD.,Active,X ,10.00,INE184D01018,Oil Marketing &amp; Distribution,Equity
526881,63MOONS,63 Moons Technologies Ltd,Active,B ,2.00,INE111B01023,IT Consulting &amp; Software,Equity
526885,SARLAPOLY,SARLA PERFORMANCE FIBERS LTD.-$,Active,B ,1.00,INE453D01025,Textiles,Equity
526887,INDOCRED,INDO CREDIT CAPITAL LTD.,Active,XT,10.00,INE147D01015,Finance (including NBFCs),Equity
526891,MKTCREAT,MARKET CREATORS LTD.,Active,X ,10.00,INE944C01017,Other Financial Services,Equity
526899,HFIL,Himalaya Food International Ltd,Active,X ,10.00,INE552B01010,Other Agricultural Products,Equity
526901,SONALAD,SONAL ADHESIVES LTD.,Active,XT,10.00,INE344I01017,Commodity Chemicals,Equity
526905,PADMAIND,Padmanabh Industries Limited,Active,X ,10.00,INE743D01011,Commodity Chemicals,Equity
526917,CHDDLTD,CHD DEVELOPERS LTD.-$,Active,X ,2.00,INE659B01021,Realty,Equity
526921,21STCENMGM,TWENTYFIRST CENTURY MANAGEMENT SERVICES LTD.,Active,B ,10.00,INE253B01015,Other Financial Services,Equity
526927,DION,DION GLOBAL SOLUTIONS LTD.,Active,XT,10.00,INE991C01034,IT Software Products,Equity
526931,HRYNSHP,HARIYANA SHIP BREAKERS LTD.-$,Active,X ,10.00,INE400G01011,Other Industrial Goods,Equity
526935,MBPARIKH,M.B.PARIKH FINSTOCKS LTD.,Active,XT,10.00,INE377D01018,Other Financial Services,Equity
526945,TYROON,TYROON TEA CO.LTD.,Active,X ,10.00,INE945B01016,Tea &amp; Coffee,Equity
526947,LAOPALA,LA OPALA RG LTD.,Active,B ,2.00,INE059D01020,Houseware,Equity
526951,STYLAMIND,Stylam Industries Limited,Active,X ,10.00,INE239C01012,Forest Products,Equity
526953,VENUSREM,VENUS REMEDIES LTD.,Active,B ,10.00,INE411B01019,Pharmaceuticals,Equity
526957,UDL,Uniply Decor Ltd,Active,X ,2.00,INE493E01029,Forest Products,Equity
526959,WOODSVILA,WOODSVILLA LTD.,Active,XT,5.00,INE374J01020,Hotels,Equity
526961,TRANSFIN,TRANS FINANCIAL RESOURCES LTD.,Active,XT,10.00,INE404B01014,Finance (including NBFCs),Equity
526965,GUJCRAFT,GUJARAT CRAFT INDUSTRIES LTD.,Active,XT,10.00,INE372D01019,Containers &amp; Packaging,Equity
526971,DHOOTIN,DHOOT INDUSTRIAL FINANCE LTD.,Active,X ,10.00,INE313G01016,Comm.Trading  &amp; Distribution,Equity
526977,CRIMSON,Crimson Metal Engineering Company Ltd,Active,P ,10.00,INE318P01016,Iron &amp; Steel Products,Equity
526981,SHBAJRG,SHRI BAJRANG ALLOYS LTD.,Active,X ,10.00,INE402H01015,Iron &amp; Steel Products,Equity
526983,ASHOKRE,ASHOKA REFINERIES LTD.,Active,P ,10.00,INE760M01016,Other Agricultural Products,Equity
526987,URJAGLOBA,URJA GLOBAL LTD.,Active,B ,1.00,INE550C01020,Comm.Trading  &amp; Distribution,Equity
527001,ASHAPURMIN,ASHAPURA MINECHEM LTD.,Active,T ,2.00,INE348A01023,Mining,Equity
527005,SHREEPAC,SHREE PACETRONIX LTD.,Active,X ,10.00,INE847D01010,Healthcare Supplies,Equity
530001,GUJALKALI,GUJARAT ALKALIES &amp; CHEMICALS LTD.,Active,A ,10.00,INE186A01019,Commodity Chemicals,Equity
530005,INDIACEM,INDIA CEMENTS LTD.,Active,A ,10.00,INE383A01012,Cement &amp; Cement Products,Equity
530007,JKTYRE,JK TYRE &amp; INDUSTRIES LTD.,Active,A ,2.00,INE573A01042,Auto Tyres &amp; Rubber Products,Equity
530011,MANGCHEFER,MANGALORE CHEMICALS &amp; FERTILIZERS LTD.,Active,B ,10.00,INE558B01017,Fertilizers,Equity
530017,SIL,STANDARD INDUSTRIES LTD.,Active,T ,5.00,INE173A01025,Commodity Chemicals,Equity
530019,JUBILANT,JUBILANT LIFE SCIENCES LIMITED,Active,A ,1.00,INE700A01033,Pharmaceuticals,Equity
530023,THEINVEST,The Investment Trust Of India Ltd,Active,B ,10.00,INE924D01017,Finance (including NBFCs),Equity
530025,SAMYAKINT,SAMYAK INTERNATIONAL LTD.,Active,XT,10.00,INE607G01011,Misc.Commercial Services,Equity
530035,SANTOSHF,SANTOSH FINE-FAB LTD.,Active,XT,10.00,INE612D01018,Textiles,Equity
530037,SREEJAYA,SREE JAYALAKSHMI AUTOSPIN LTD.,Active,XT,10.00,INE618F01010,Textiles,Equity
530043,ACKNIT,ACKNIT INDUSTRIES LTD.,Active,X ,10.00,INE326C01017,Other Apparels &amp; Accessories,Equity
530045,TITANSEC,TITAN SECURITIES LTD.,Active,X ,10.00,INE090D01017,Finance (including NBFCs),Equity
530047,MOHOTAIND,Mohota Industries Ltd,Active,B ,10.00,INE313D01013,Textiles,Equity
530049,JJEXPO,J.J.EXPORTERS LTD.,Active,XT,10.00,INE408B01015,Textiles,Equity
530053,REALNEWS,Real News &amp; Views Ltd,Active,X ,10.00,INE055E01026,Realty,Equity
530055,HRMNYCP,HARMONY CAPITAL SERVICES LTD.,Active,X ,10.00,INE264N01017,Misc.Commercial Services,Equity
530057,VIVANZA,Vivanza Biosciences Ltd,Active,XT,10.00,INE984E01027,Pharmaceuticals,Equity
530063,YASHRAJC,YASHRAJ CONTAINEURS LTD.,Active,X ,10.00,INE095C01018,Containers &amp; Packaging,Equity
530065,LORDSHOTL,Lords Ishwar Hotels Limited,Active,XT,10.00,INE689J01013,Hotels,Equity
530067,CSLFINANCE,CSL Finance Ltd,Active,X ,10.00,INE718F01018,Finance (including NBFCs),Equity
530073,SANGHVIMOV,SANGHVI MOVERS LTD.,Active,B ,2.00,INE989A01024,Transport Related Services,Equity
530075,SELAN*,SELAN EXPLORATION TECHNOLOGY LTD.-$,Active,B ,10.00,INE818A01017,Exploration &amp; Production,Equity
530077,FRSHTRP,FRESHTROP FRUITS LTD.,Active,X ,10.00,INE795D01011,Other Agricultural Products,Equity
530079,FAZE3Q,FAZE THREE LTD.-$,Active,X ,10.00,INE963C01033,Textiles,Equity
530093,ACEEDU,ACE Edutrend Ltd,Active,Z ,10.00,INE715F01014,Education,Equity
530095,PRADHIN,Pradhin Ltd,Active,X ,10.00,INE656B01019,Iron &amp; Steel/Interm.Products,Equity
530109,ANUPAM,Anupam Finserv Ltd,Active,X ,10.00,INE069B01015,Finance (including NBFCs),Equity
530111,RAJPACK,RAJ PACKAGING INDUSTRIES LTD.,Active,X ,10.00,INE639C01013,Containers &amp; Packaging,Equity
530117,FAIRCHEM,Fairchem Speciality Ltd,Active,B ,10.00,INE959A01019,Specialty Chemicals,Equity
530119,NATRAJPR,NATRAJ PROTEINS LTD.,Active,XT,10.00,INE444D01016,Edible Oils,Equity
530125,SAMRATPH,SAMRAT PHARMACHEM LTD.-$,Active,X ,10.00,INE103E01016,Pharmaceuticals,Equity
530127,NPRFIN,NPR FINANCE LTD.,Active,X ,10.00,INE446D01011,Other Financial Services,Equity
530129,NILE,NILE LTD.,Active,X ,10.00,INE445D01013,Iron &amp; Steel Products,Equity
530131,UDAICEMENT,UDAIPUR CEMENT WORKS LTD.,Active,X ,4.00,INE225C01029,Cement &amp; Cement Products,Equity
530133,AMCOIND,AMCO INDIA LTD.-$,Active,X ,10.00,INE924B01011,Fibres &amp; Plastics,Equity
530135,OPTIEMUS,Optiemus Infracom Ltd,Active,B ,10.00,INE350C01017,Telecom Equipment,Equity
530139,KREONFIN,KREON FINNANCIAL SERVICES LTD.,Active,XT,10.00,INE302C01018,Finance (including NBFCs),Equity
530141,GYANDEV,GYAN DEVELOPERS &amp; BUILDERS LTD.,Active,X ,10.00,INE487G01018,Realty,Equity
530145,KISAN,KISAN MOULDINGS LTD.-$,Active,X ,10.00,INE017C01012,Plastic Products,Equity
530149,KSLIND,KSL AND INDUSTRIES LTD.-$,Active,X ,4.00,INE219A01026,Textiles,Equity
530151,VIJAYTX,VIJAY TEXTILES LTD.,Active,X ,10.00,INE256G01033,Comm.Trading  &amp; Distribution,Equity
530161,GARODCH,GARODIA CHEMICALS LTD.,Active,P ,10.00,INE236P01010,Comm.Trading  &amp; Distribution,Equity
530163,KERALAYUR,KERALA AYURVEDA LTD.,Active,X ,10.00,INE817B01025,Pharmaceuticals,Equity
530167,MONGIPA,MOONGIPA CAPITAL FINANCE LTD.,Active,XT,10.00,INE153K01018,Finance (including NBFCs),Equity
530169,MOHITPPR,MOHIT PAPER MILLS LTD.,Active,X ,10.00,INE388C01017,Paper &amp; Paper Products,Equity
530171,DAULAT,DAULAT SECURITIES LTD.,Active,X ,10.00,INE108C01019,Other Financial Services,Equity
530173,OSCARGLO,OSCAR GLOBAL LTD.,Active,X ,10.00,INE473F01010,Other Apparels &amp; Accessories,Equity
530175,ODYSSEY,ODYSSEY TECHNOLOGIES LTD.-$,Active,X ,10.00,INE213B01019,IT Software Products,Equity
530177,SPSINT,SPS INTERNATIONAL LTD.,Active,X ,10.00,INE758B01013,Comm.Trading  &amp; Distribution,Equity
530179,RSCINT,RSC INTERNATIONAL LTD.,Active,XT,10.00,INE015F01019,Textiles,Equity
530185,SURATEX,SURAT TEXTILE MILLS LTD.,Active,X ,1.00,INE936A01025,Textiles,Equity
530187,ATHARVENT,ATHARV ENTERPRISES LTD.,Active,XT,10.00,INE354E01031,Finance (including NBFCs),Equity
530191,CHROMATIC,CHROMATIC INDIA LTD.,Active,B ,10.00,INE662C01015,Specialty Chemicals,Equity
530199,THEMISMED,THEMIS MEDICARE LTD.,Active,B ,10.00,INE083B01016,Pharmaceuticals,Equity
530201,KALLAM,Kallam Textiles Ltd-$,Active,X ,2.00,INE629F01025,Textiles,Equity
530207,BRAWN,BRAWN BIOTECH LTD.,Active,XT,10.00,INE899B01015,Pharmaceuticals,Equity
530213,FORINTL,FORTUNE INTERNATIONAL LTD.,Active,XT,10.00,INE501D01013,Comm.Trading  &amp; Distribution,Equity
530215,KINGSINFR,Kings Infra Ventures Limited,Active,X ,10.00,INE050N01010,Realty,Equity
530219,NUTRICIRCLE,Nutricircle Ltd,Active,XT,10.00,INE536C01029,Other Apparels &amp; Accessories,Equity
530231,SUBSM,SUBHASH SILK MILLS LTD.,Active,XT,10.00,INE690D01014,Textiles,Equity
530233,AUROLAB,AURO LABORATORIES LTD.,Active,X ,10.00,INE292C01011,Pharmaceuticals,Equity
530235,KJMCFIN,KJMC FINANCIAL SERVICES LTD.,Active,X ,10.00,INE533C01018,Finance (including NBFCs),Equity
530239,SUVEN,SUVEN LIFE SCIENCES LTD.,Active,A ,1.00,INE495B01038,Pharmaceuticals,Equity
530243,MANGASOF,MANGALYA SOFT-TECH LTD.,Active,XT,10.00,INE820B01011,IT Software Products,Equity
530245,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.,Active,X ,10.00,INE032E01017,Finance (including NBFCs),Equity
530249,BRIDGESE,BRIDGE SECURITIES LTD.,Active,X ,10.00,INE958C01017,Other Financial Services,Equity
530251,RISAINTL,RISA INTERNATIONAL LTD.,Active,XT,2.00,INE001O01029,Comm.Trading  &amp; Distribution,Equity
530253,RAJTUBE,RAJASTHAN TUBE MANUFACTURING CO.LTD.,Active,X ,10.00,INE497E01012,Iron &amp; Steel Products,Equity
530255,KAYPOWR,KAY POWER AND PAPER LTD.,Active,X ,10.00,INE961B01013,Paper &amp; Paper Products,Equity
530259,INTSTOIL,INTER STATE OIL CARRIER LTD.,Active,X ,10.00,INE003B01014,Surface Transportation,Equity
530263,GLOBALCA,GLOBAL CAPITAL MARKETS LTD.,Active,X ,10.00,INE062C01034,Finance (including NBFCs),Equity
530265,SAINIK,SAINIK FINANCE &amp; INDUSTRIES LTD.,Active,X ,10.00,INE584B01013,Cement &amp; Cement Products,Equity
530267,SABOOBR,SABOO BROTHERS LTD.,Active,XT,10.00,INE021N01011,Industrial Machinery,Equity
530271,RICHUNV,RICH UNIVERSE NETWORK LTD.,Active,X ,10.00,INE652D01014,Finance (including NBFCs),Equity
530281,QUANTDIA,QUANTUM DIGITAL VISION (INDIA) LTD.,Active,XT,10.00,INE373C01019,Containers &amp; Packaging,Equity
530289,SPCAPIT,SP CAPITAL FINANCING LTD.,Active,XT,10.00,INE102F01015,Misc.Commercial Services,Equity
530299,KOTHARIPRO,KOTHARI PRODUCTS LTD.,Active,B ,10.00,INE823A01017,Comm.Trading  &amp; Distribution,Equity
530305,PICCADIL,PICCADILY AGRO INDUSTRIES LTD.,Active,X ,10.00,INE546C01010,Sugar,Equity
530307,CHAMANSEQ,CHAMAN LAL SETIA EXPORTS LTD.-$,Active,X ,2.00,INE419D01026,Other Agricultural Products,Equity
530309,CHANDRAP,CHANDRA PRABHU INTERNATIONAL LTD.-$,Active,X ,10.00,INE368D01017,Comm.Trading  &amp; Distribution,Equity
530313,KIMIABL,Kimia Biosciences Ltd,Active,XT,1.00,INE285U01025,Pharmaceuticals,Equity
530315,HINDTIN,HINDUSTAN TIN WORKS LTD.-$,Active,X ,10.00,INE428D01019,Containers &amp; Packaging,Equity
530317,GODAVARI,GODAVARI DRUGS LTD.,Active,X ,10.00,INE362C01012,Pharmaceuticals,Equity
530331,PREMCO,PREMCO GLOBAL LTD.-$,Active,X ,10.00,INE001E01012,Textiles,Equity
530333,EMGEECA,EMGEE CABLES &amp; COMMUNICATIONS LTD.,Active,ZP,10.00,INE128F01010,Other Elect.Equip./ Prod.,Equity
530341,MUKESHB,MUKESH BABU FINANCIAL SERVICES LTD.,Active,X ,10.00,INE596B01017,Other Financial Services,Equity
530343,GENUSPOWER,GENUS POWER INFRASTRUCTURES LTD.-$,Active,B ,1.00,INE955D01029,Other Elect.Equip./ Prod.,Equity
530355,ASIANOI,ASIAN OILFIELD SERVICES LTD.,Active,X ,10.00,INE276G01015,Oil Equipment &amp; Services,Equity
530357,KBSINDIA,KBS INDIA LIMITED,Active,X ,10.00,INE883D01015,Other Financial Services,Equity
530361,SEAGOLD,SEA GOLD AQUA FARMS LTD.,Active,P ,10.00,INE428P01013,Packaged Foods,Equity
530363,UGARSUGAR,UGAR SUGAR WORKS LTD.-$,Active,B ,1.00,INE071E01023,Sugar,Equity
530365,ORIENTBELL,ORIENT BELL LIMITED-$,Active,B ,10.00,INE607D01018,Furniture-Furnishing-Paints,Equity
530367,NRBBEARING,NRB BEARINGS LTD.,Active,B ,2.00,INE349A01021,Industrial Machinery,Equity
530369,VAMSHIRU,VAMSHI RUBBER LTD.,Active,X ,10.00,INE380C01014,Auto Tyres &amp; Rubber Products,Equity
530377,NILA,NILA INFRASTRUCTURES LTD.,Active,B ,1.00,INE937C01029,Construction &amp; Engineering,Equity
530381,PETRONENGG,PETRON ENGINEERING CONSTRUCTION LTD.,Active,T ,10.00,INE742A01019,Construction &amp; Engineering,Equity
530389,GEEFC,GEEFCEE FINANCE LTD.,Active,X ,10.00,INE632D01016,Investment Companies,Equity
530393,DBSTOCKBRO,DB (INTERNATIONAL) STOCK BROKERS LTD.,Active,B ,2.00,INE921B01025,Other Financial Services,Equity
